elevation;latitude;longitude;speedD;speedE;speedN;timestamp;run;tf_id;device;athlete;start_date;activity_id;activity_name;type;sport;discipline;discipline_from_name;sport_from_name;run_athlete;run_date_athlete;speed_kmh
652.754;-54.7160047;-67.9753988;1.876;3.503;-8.087;20240907T143518900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;32.4378
652.485;-54.7160122;-67.9753933;1.969;3.495;-8.361;20240907T143519000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;33.3846
652.115;-54.7160196;-67.9753884;2.168;3.144;-8.362;20240907T143519100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;33.09408
651.703;-54.7160266;-67.9753843;2.393;2.595;-8.011;20240907T143519200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;31.51512
651.332;-54.716034;-67.975382;2.545;1.686;-8.245;20240907T143519300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;31.6512
651.032;-54.716042;-67.9753808;2.601;0.952;-8.73;20240907T143519400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;32.97168
650.714;-54.7160503;-67.9753805;2.67;0.349;-9.157;20240907T143519500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;34.36092
650.388;-54.7160586;-67.975381;2.738;-0.225;-9.189;20240907T143519600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;34.52724
650.158;-54.716067;-67.9753848;2.694;-1.887;-9.333;20240907T143519700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.62416
649.969;-54.7160755;-67.9753908;2.61;-3.345;-9.351;20240907T143519800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;36.9666
649.806;-54.716084;-67.9753982;2.505;-4.404;-9.436;20240907T143519900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.55672
649.499;-54.7160923;-67.975405;2.568;-4.409;-9.31;20240907T143520000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.2194
649.13;-54.7161003;-67.975412;2.688;-4.579;-9.016;20240907T143520100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.66788
648.706;-54.7161085;-67.9754187;2.854;-4.471;-9.255;20240907T143520200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.40192
648.23;-54.7161171;-67.9754243;3.058;-3.896;-9.566;20240907T143520300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.77956
647.845;-54.716126;-67.9754281;3.143;-2.813;-9.911;20240907T143520400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.77632
647.511;-54.7161353;-67.9754296;3.163;-1.34;-10.272;20240907T143520500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.99232
647.199;-54.7161446;-67.9754283;3.157;0.336;-10.349;20240907T143520600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.97
646.952;-54.7161537;-67.9754258;3.086;1.389;-10.165;20240907T143520700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.5686
646.672;-54.7161627;-67.9754223;3.058;2.074;-10.099;20240907T143520800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.71332
646.321;-54.7161719;-67.9754188;3.108;2.192;-10.186;20240907T143520900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.14244
645.868;-54.7161812;-67.9754153;3.26;2.189;-10.399;20240907T143521000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.01652
645.312;-54.7161902;-67.9754117;3.503;2.219;-10.326;20240907T143521100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.059
644.751;-54.7161992;-67.9754084;3.723;2.08;-10.296;20240907T143521200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.11948
644.226;-54.7162085;-67.9754072;3.886;0.954;-10.361;20240907T143521300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.98448
643.906;-54.7162184;-67.9754083;3.819;-0.318;-10.83;20240907T143521400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.3568
643.427;-54.7162279;-67.9754089;3.923;-0.427;-10.643;20240907T143521500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.8636
642.856;-54.7162374;-67.97541;4.114;-0.741;-10.729;20240907T143521600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.45256
642.278;-54.716247;-67.9754101;4.289;-0.316;-10.875;20240907T143521700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;42.1002
641.759;-54.7162561;-67.975409;4.381;0.414;-10.33;20240907T143521800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.42152
641.379;-54.7162648;-67.9754051;4.315;2.115;-9.87;20240907T143521900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.51972
640.989;-54.7162736;-67.9753999;4.268;3.098;-9.763;20240907T143522000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.94704
640.669;-54.7162826;-67.9753936;4.151;3.962;-9.88;20240907T143522100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.1318
640.244;-54.716291;-67.9753878;4.161;3.783;-9.489;20240907T143522200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.70872
639.712;-54.7162995;-67.9753817;4.285;3.807;-9.585;20240907T143522300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.20516
639.132;-54.7163082;-67.9753759;4.443;3.705;-9.737;20240907T143522400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.77324
638.502;-54.7163166;-67.9753707;4.64;3.315;-9.552;20240907T143522500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.04892
637.928;-54.7163251;-67.9753678;4.757;2.149;-9.489;20240907T143522600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.988
637.463;-54.7163332;-67.9753669;4.75;0.983;-9.141;20240907T143522700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.25388
637.035;-54.716341;-67.9753685;4.707;-0.497;-8.887;20240907T143522800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;36.24768
636.714;-54.7163486;-67.9753721;4.553;-1.753;-8.531;20240907T143522900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.37936
636.478;-54.7163562;-67.9753796;4.33;-3.994;-8.54;20240907T143523000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.34856
